episode,distance,duration_ticks,crashed,epsilon
1,2020.00,202,True,0.8983
2,3180.00,318,True,0.8956
3,2000.00,200,True,0.8939
4,3100.00,310,True,0.8913
5,2880.00,288,True,0.8889
6,4550.00,455,True,0.8851
7,2090.00,209,True,0.8833
8,2110.00,211,True,0.8816
9,5750.00,575,True,0.8768
10,1780.00,178,True,0.8753
11,6120.00,612,True,0.8703
12,4640.00,464,True,0.8665
13,2240.00,224,True,0.8647
14,3610.00,361,True,0.8617
15,3450.00,345,True,0.8589
16,2910.00,291,True,0.8566
17,4100.00,410,True,0.8533
18,2440.00,244,True,0.8513
19,1930.00,193,True,0.8498
20,2880.00,288,True,0.8475
21,4300.00,430,True,0.8441
22,2960.00,296,True,0.8417
23,1940.00,194,True,0.8402
24,2850.00,285,True,0.8379
25,4540.00,454,True,0.8344
26,4730.00,473,True,0.8307
27,6030.00,603,True,0.8260
28,2340.00,234,True,0.8242
29,3260.00,326,True,0.8216
30,4170.00,417,True,0.8184
31,2290.00,229,True,0.8167
32,9710.00,971,True,0.8093
33,2100.00,210,True,0.8077
34,2250.00,225,True,0.8060
35,6590.00,659,True,0.8010
36,5090.00,509,True,0.7972
37,2610.00,261,True,0.7952
38,2720.00,272,True,0.7932
39,2510.00,251,True,0.7913
40,2930.00,293,True,0.7892
41,3510.00,351,True,0.7866
42,3170.00,317,True,0.7843
43,2270.00,227,True,0.7826
44,1610.00,161,True,0.7814
45,2140.00,214,True,0.7798
46,6290.00,629,True,0.7753
47,4730.00,473,True,0.7718
48,2330.00,233,True,0.7702
49,1970.00,197,True,0.7688
50,3790.00,379,True,0.7660
51,4980.00,498,True,0.7625
52,6720.00,672,True,0.7577
53,2090.00,209,True,0.7562
54,6550.00,655,True,0.7516
55,4630.00,463,True,0.7484
56,4690.00,469,True,0.7451
57,2520.00,252,True,0.7434
58,12150.00,1215,True,0.7350
59,3030.00,303,True,0.7329
60,6130.00,613,True,0.7287
61,4040.00,404,True,0.7260
62,3800.00,380,True,0.7234
63,3680.00,368,True,0.7210
64,1980.00,198,True,0.7196
65,2550.00,255,True,0.7179
66,2220.00,222,True,0.7165
67,5360.00,536,True,0.7129
68,4720.00,472,True,0.7098
69,5820.00,582,True,0.7059
70,1600.00,160,True,0.7049
71,7190.00,719,True,0.7002
72,3110.00,311,True,0.6982
73,4260.00,426,True,0.6954
74,2560.00,256,True,0.6938
75,6560.00,656,True,0.6896
76,2070.00,207,True,0.6882
77,6070.00,607,True,0.6844
78,2170.00,217,True,0.6830
79,1750.00,175,True,0.6819
80,5090.00,509,True,0.6787
81,2660.00,266,True,0.6770
82,3990.00,399,True,0.6745
83,2140.00,214,True,0.6732
84,5220.00,522,True,0.6699
85,4020.00,402,True,0.6675
86,3760.00,376,True,0.6651
87,2050.00,205,True,0.6639
88,2740.00,274,True,0.6622
89,6270.00,627,True,0.6584
90,5120.00,512,True,0.6553
91,2770.00,277,True,0.6536
92,1840.00,184,True,0.6525
93,3880.00,388,True,0.6501
94,6770.00,677,True,0.6461
95,1720.00,172,True,0.6451
96,2760.00,276,True,0.6434
97,4900.00,490,True,0.6405
98,2490.00,249,True,0.6391
99,2160.00,216,True,0.6378
100,5750.00,575,True,0.6344
101,1810.00,181,True,0.6334
102,1820.00,182,True,0.6323
103,3970.00,397,True,0.6300
104,3390.00,339,True,0.6280
105,4650.00,465,True,0.6254
106,4630.00,463,True,0.6227
107,3970.00,397,True,0.6204
108,7310.00,731,True,0.6163
109,1950.00,195,True,0.6152
110,4530.00,453,True,0.6126
111,3070.00,307,True,0.6109
112,3950.00,395,True,0.6087
113,8090.00,809,True,0.6042
114,4440.00,444,True,0.6017
115,7420.00,742,True,0.5976
116,2560.00,256,True,0.5962
117,3970.00,397,True,0.5941
118,4180.00,418,True,0.5918
119,5130.00,513,True,0.5890
120,2130.00,213,True,0.5879
121,5160.00,516,True,0.5851
122,3390.00,339,True,0.5833
123,5200.00,520,True,0.5805
124,2570.00,257,True,0.5792
125,3810.00,381,True,0.5772
126,2530.00,253,True,0.5758
127,5540.00,554,True,0.5729
128,2600.00,260,True,0.5716
129,5900.00,590,True,0.5685
