episode,distance,duration_ticks,crashed,epsilon
199,3980.00,398,True,0.8574
200,2450.00,245,True,0.8572
201,2580.00,258,True,0.8571
202,4020.00,402,True,0.8569
203,4240.00,424,True,0.8567
204,3210.00,321,True,0.8565
205,5340.00,534,True,0.8562
206,2270.00,227,True,0.8561
207,7000.00,700,True,0.8557
208,5950.00,595,True,0.8554
209,2180.00,218,True,0.8553
210,3270.00,327,True,0.8551
211,3320.00,332,True,0.8549
212,1720.00,172,True,0.8548
213,1690.00,169,True,0.8547
214,5660.00,566,True,0.8544
215,9530.00,953,True,0.8539
216,2010.00,201,True,0.8538
217,5150.00,515,True,0.8535
218,6820.00,682,True,0.8532
219,1690.00,169,True,0.8531
220,4300.00,430,True,0.8528
221,2540.00,254,True,0.8527
222,6040.00,604,True,0.8524
223,2600.00,260,True,0.8522
224,3220.00,322,True,0.8521
225,2390.00,239,True,0.8519
226,2170.00,217,True,0.8518
227,1750.00,175,True,0.8517
228,1890.00,189,True,0.8516
229,3180.00,318,True,0.8515
230,4680.00,468,True,0.8512
231,2910.00,291,True,0.8511
232,7850.00,785,True,0.8506
233,2190.00,219,True,0.8505
234,2080.00,208,True,0.8504
235,2660.00,266,True,0.8503
236,1910.00,191,True,0.8502
237,1950.00,195,True,0.8501
238,1750.00,175,True,0.8500
239,6030.00,603,True,0.8496
240,3190.00,319,True,0.8495
241,4030.00,403,True,0.8493
242,9110.00,911,True,0.8488
243,5310.00,531,True,0.8485
244,3160.00,316,True,0.8483
245,4720.00,472,True,0.8481
246,8390.00,839,True,0.8476
247,1640.00,164,True,0.8475
248,5110.00,511,True,0.8473
249,3370.00,337,True,0.8471
250,1800.00,180,True,0.8470
251,6240.00,624,True,0.8467
252,2550.00,255,True,0.8465
253,4180.00,418,True,0.8463
254,7500.00,750,True,0.8459
255,3280.00,328,True,0.8457
256,2240.00,224,True,0.8456
257,1970.00,197,True,0.8455
258,2070.00,207,True,0.8454
259,3880.00,388,True,0.8452
260,3190.00,319,True,0.8450
261,4050.00,405,True,0.8448
262,4020.00,402,True,0.8446
263,2960.00,296,True,0.8444
264,3680.00,368,True,0.8442
265,4310.00,431,True,0.8440
266,7340.00,734,True,0.8436
267,3570.00,357,True,0.8434
268,2650.00,265,True,0.8433
269,3570.00,357,True,0.8431
270,4560.00,456,True,0.8429
271,3960.00,396,True,0.8427
272,4180.00,418,True,0.8424
273,4000.00,400,True,0.8422
274,5550.00,555,True,0.8419
275,5830.00,583,True,0.8416
276,4500.00,450,True,0.8414
277,4030.00,403,True,0.8412
278,1950.00,195,True,0.8411
279,3320.00,332,True,0.8409
280,7430.00,743,True,0.8405
281,2320.00,232,True,0.8404
282,8440.00,844,True,0.8399
283,2610.00,261,True,0.8398
284,4820.00,482,True,0.8396
285,1700.00,170,True,0.8395
286,7750.00,775,True,0.8391
287,3320.00,332,True,0.8389
288,4050.00,405,True,0.8387
289,9260.00,926,True,0.8382
290,3650.00,365,True,0.8380
291,9380.00,938,True,0.8375
292,5770.00,577,True,0.8372
293,3320.00,332,True,0.8370
294,2130.00,213,True,0.8369
295,3150.00,315,True,0.8367
296,2760.00,276,True,0.8366
297,5150.00,515,True,0.8363
298,2450.00,245,True,0.8362
299,1510.00,151,True,0.8361
300,5620.00,562,True,0.8358
301,5410.00,541,True,0.8355
302,3140.00,314,True,0.8354
303,5280.00,528,True,0.8351
304,3460.00,346,True,0.8349
305,7620.00,762,True,0.8345
306,1720.00,172,True,0.8344
307,3280.00,328,True,0.8343
308,3820.00,382,True,0.8341
309,2570.00,257,True,0.8339
310,5390.00,539,True,0.8336
311,2710.00,271,True,0.8335
312,3000.00,300,True,0.8333
313,2640.00,264,True,0.8332
314,3610.00,361,True,0.8330
315,4780.00,478,True,0.8328
316,1990.00,199,True,0.8327
317,2710.00,271,True,0.8325
318,2810.00,281,True,0.8324
319,3620.00,362,True,0.8322
320,2270.00,227,True,0.8321
321,4290.00,429,True,0.8318
322,2500.00,250,True,0.8317
323,3990.00,399,True,0.8315
324,2460.00,246,True,0.8314
325,4080.00,408,True,0.8312
326,3500.00,350,True,0.8310
327,3370.00,337,True,0.8308
328,2330.00,233,True,0.8307
329,3010.00,301,True,0.8305
330,2640.00,264,True,0.8304
331,3690.00,369,True,0.8302
332,2050.00,205,True,0.8301
333,5490.00,549,True,0.8298
334,3420.00,342,True,0.8296
335,3300.00,330,True,0.8295
336,4770.00,477,True,0.8292
337,4540.00,454,True,0.8290
338,11240.00,1124,True,0.8284
339,4670.00,467,True,0.8282
340,3130.00,313,True,0.8280
341,6240.00,624,True,0.8277
342,3240.00,324,True,0.8275
343,3420.00,342,True,0.8273
344,4050.00,405,True,0.8271
345,4250.00,425,True,0.8269
346,2480.00,248,True,0.8268
347,5130.00,513,True,0.8265
348,5650.00,565,True,0.8262
349,2060.00,206,True,0.8261
350,4210.00,421,True,0.8259
351,3260.00,326,True,0.8257
352,1960.00,196,True,0.8256
353,1960.00,196,True,0.8255
354,3070.00,307,True,0.8254
355,3420.00,342,True,0.8252
356,3240.00,324,True,0.8250
357,1770.00,177,True,0.8249
358,3800.00,380,True,0.8247
359,3060.00,306,True,0.8246
360,1950.00,195,True,0.8245
361,1680.00,168,True,0.8244
362,2650.00,265,True,0.8242
363,3170.00,317,True,0.8241
364,3740.00,374,True,0.8239
365,2030.00,203,True,0.8238
366,4670.00,467,True,0.8235
367,2230.00,223,True,0.8234
368,3960.00,396,True,0.8232
369,4880.00,488,True,0.8230
370,2480.00,248,True,0.8228
371,1560.00,156,True,0.8228
372,4200.00,420,True,0.8225
373,2210.00,221,True,0.8224
374,2640.00,264,True,0.8223
375,4650.00,465,True,0.8221
376,6620.00,662,True,0.8217
377,3810.00,381,True,0.8215
378,2380.00,238,True,0.8214
379,4860.00,486,True,0.8211
380,3080.00,308,True,0.8210
381,4160.00,416,True,0.8208
382,3210.00,321,True,0.8206
383,1890.00,189,True,0.8205
384,11000.00,1100,True,0.8199
385,2680.00,268,True,0.8198
386,4780.00,478,True,0.8196
387,14390.00,1439,True,0.8188
388,2750.00,275,True,0.8187
389,2640.00,264,True,0.8185
